Activated|.|Legacy Weapon
Activated|.|Staff of Domination
Activated|.|Ethersworn Adjudicator
Activated|.|Grenzo, Dungeon Warden
Activated|.|Korozda Guildmage
Activated|.|Havengul Lich
Activated|.|Olivia Voldaren
Activated|.|Niv-Mizzet, Dracogenius
Activated|.|Sliver Queen
Activated|.|Zameck Guildmage
Activated|.|Dark Impostor
Activated|.|Dauthi Embrace
Activated|.|Geth, Lord of the Vault
Activated|.|Nezumi Graverobber
Activated|.|Pestilence Demon
Activated|.|Deadeye Navigator
Activated|.|Sphinx of Magosi
Activated|.|Thassa, God of the Sea
Activated|.|Treasure Trove
Activated|.|Viral Drake
Activated|.|Assault Formation
Activated|.|Aggravated Assault
Activated|.|Moonveil Dragon
Activated|.|Purphoros, God of the Forge
Activated|.|Luminarch Ascension
Activated|.|Mastery of the Unseen
Activated|.|Mirror Entity
Activated|.|Diviner's Wand
Activated|.|Gemstone Array
Activated|.|Karn, Silver Golem
Activated|.|Leonin Sun Standard
Activated|.|Memnarch
Activated|.|Soul of New Phyrexia
Activated|.|Duskmantle Guildmage
Activated|.|Harbinger of the Hunt
Activated|.|Necrogenesis
Activated|.|New Prahv Guildmage
Activated|.|Vampiric Dragon
Activated|.|Vizkopa Guildmage
Activated|.|Drana, Kalastria Bloodchief
Activated|.|Pestilence
Activated|.|Plaguebearer
Activated|.|Soul of Innistrad
Activated|.|Thrashing Wumpus
Activated|.|Air Servant
Activated|.|Azure Mage
Activated|.|Galvanic Alchemist
Activated|.|The Scarab God
Activated|.|Razaketh, the Foulblooded
Activated|.|Captivating Crew
Activated|.|Patron of the Moon
Activated|.|Pemmin's Aura
Activated|.|Soul of Ravnica
Activated|.|Thassa's Ire
Activated|.|Ant Queen
Activated|.|Asceticism
Activated|.|Call of the Wild
Activated|.|Heroes' Bane
Activated|.|Jade Mage
Activated|.|Kamahl, Fist of Krosa
Activated|.|Nemata, Grove Guardian
Activated|.|Spearbreaker Behemoth
Activated|.|Hoard-Smelter Dragon
Activated|.|Inner-Flame Igniter
Activated|.|Kumano, Master Yamabushi
Activated|.|Scourge of Kher Ridges
Activated|.|Shivan Hellkite
Activated|.|Warmonger Hellkite
Activated|.|Akroan Phalanx
Activated|.|Avacyn, Guardian Angel
Activated|.|Deathless Angel
Activated|.|Jazal Goldmane
Activated|.|Scholar of Athreos
Activated|.|Vengeful Archon
Activated|.|Gigantoplasm
Activated|.|Duskwatch Recruiter
Activated|.|Drogskol Cavalry
Activated|.|Master Trinketeer
Activated|.|Evolution Vat
Activated|.|Goblin Cannon
Activated|.|Golem Artisan
Activated|.|Masticore
Activated|.|Predator, Flagship
Activated|.|Rocket Launcher
Activated|.|Sacred Armory
Activated|.|Spawnsire of Ulamog
Activated|.|Deepfire Elemental
Activated|.|Azorius Guildmage
Activated|.|Dimir Guildmage
Activated|.|Marchesa's Smuggler
Activated|.|Orzhov Guildmage
Activated|.|Selesnya Guildmage
Activated|.|Vitu-Ghazi Guildmage
Activated|.|Crypt Rats
Activated|.|Aboshan, Cephalid Emperor
Activated|.|Amphin Pathmage
Activated|.|Dreams of the Dead
Activated|.|Walking Ballista
Activated|.|Welder Automaton
Activated|.|Kefnet the Mindful
Activated|.|Waker of the Wilds
Activated|.|Filigree Sages
Activated|.|Freed from the Real
Activated|.|Mischievous Quanar
Activated|.|Soothsaying
Activated|.|War Tax
Activated|.|Centaur Glade
Activated|.|Elder of Laurels
Activated|.|Master of the Hunt
Activated|.|Nylea, God of the Hunt
Activated|.|Scavenging Ooze
Activated|.|Silklash Spider
Activated|.|Soul of Zendikar
Activated|.|Storm Front
Activated|.|Ursapine
Activated|.|Dragon Roost
Activated|.|Dragon Whisperer
Activated|.|Gorilla Shaman
Activated|.|Pyrohemia
Activated|.|Soul of Shandalar
Activated|.|Dauntless River Marshal
Activated|.|Dawnglare Invoker
Activated|.|Gerrard's Battle Cry
Activated|.|Glarecaster
Activated|.|Glory
Activated|.|Heliod, God of the Sun
Activated|.|Sacred Mesa
Activated|.|Soul of Theros
Activated|.|Fathom Feeder
Activated|.|Daxos the Returned
Activated|.|Essence Depleter
Activated|.|Eldrazi Displacer
Activated|.|Prophet of Distortion
Activated|.|Myr Matrix
Activated|.|Reito Lantern
Activated|.|Sensei's Divining Top
Activated|.|Shield of the Ages
Activated|.|Soldevi Digger
Activated|.|Soratami Cloud Chariot
Activated|.|Voltaic Construct
Activated|.|Wine of Blood and Iron
Activated|.|Armored Guardian
Activated|.|Boros Guildmage
Activated|.|Lich Lord of Unx
Activated|.|Nivix Guildmage
Activated|.|Seedcradle Witch
Activated|.|Sunhome Guildmage
Activated|.|Vagrant Plowbeasts
Activated|.|The Locust God
Activated|.|Mirage Mirror
Activated|.|Cogwork Assembler
Activated|.|River Hoopoe
Activated|.|The Scorpion God
Activated|.|Bloodrite Invoker
Activated|.|Fevered Convulsions
Activated|.|Oath of Lim-Dul
Activated|.|Withered Wretch
Activated|.|Aerial Caravan
Activated|.|Iceberg
Activated|.|Mindshrieker
Activated|.|Chameleon Colossus
Activated|.|Fyndhorn Pollen
Activated|.|Gigantomancer
Activated|.|Helix Pinnacle
Activated|.|Sunblade Elf
Activated|.|Wildheart Invoker
Activated|.|Yew Spirit
